缘	yun4
峄	yik6
堭	wong4
肢	ji1
鋈	yuk1
饼	beng2
杖	jeung6
仂	lak6
寤	ng6
雙	seung1
泓	wang4
凼	tam5
则	jak1
湞	jing1
敕	chik1
遭	jou1
筳	yin4
罴	bei1
哲	jit3
阪	baan2
檬	mung1/mung4
赞	jaan3/jaan3
换	wun6
耔	ji2
纱	sa1
审	sam2
勗	huk1/yuk1
傳	chyun4/jyun6
贞	jing1
蓟	gai3
蚀	sik6/sit6
觱	bit1
钯	ba1/pa4
驮	to4
蘀	tok3
狒	fei6
纭	wan4
銣	yu4
兆	siu6/jiu6
残	chaan4/chaan1
懊	ou3
翯	hok6
販	faan3
饨	tan1
蘖	yit6
樅	chung1
咇	bat1
税	seui3
妗	kam5
鸸	yi4
樾	yut6
晖	fai1
妾	chip3
斋	jaai1/jai1
輛	leung2
圌	chyun2
菠	bo1
棉	min4
霰	sin3
鸽	gap3
蚶	ham1
祐	yau6
栀	ji1
邃	seui6
算	syun3
娆	yiu4
嘗	seung4
縛	bok3/fok3
伛	yu2
呒	m4
矗	chuk1
固	gu3
扶	fu4
戚	chik1/chik1
龆	tiu4
濔	nei5
印	yan3
抃	bin6
辽	liu4
獐	jeung1
斿	yau4
镌	jyun1
琤	jaang1/jang1/saang1
儂	nung4
鱧	lai5
齒	chi2
嘬	chaai3/jyut3
呻	san1
愀	chiu2
劉	lau4
賺	jaan6
陼	jyu2
嚴	yim4
畝	mau5
耶	ye4
梐	bai6
萃	seui6
慶	hing3
褂	gwa3
矚	juk1
汪	wong1
坜	lik6
藓	sin2
髀	bei2
木	muk6
吻	man5
夠	gau3
頗	po2/po1
扦	chin1
怨	yun3
劄	jaap3
觔	gan1
横	waang4
科	fo1
撤	chit3
釜	fu2
帑	nou4/tong2
嶔	yam1
僿	ji6
魊	wik6
槃	pun4
𡁻	ze6w
鉼	bang1/bing2
緬	min5
虎	fu2
枧	gaan2
内	noi6
痴	chi1/chi1
琳	lam4
毅	ngai6
奩	lim4
缩	suk1
銩	diu1
阴	yam1
继	gai3
掗	a3
姬	gei1
壓	aat3/ngaat3
駉	gwing1
誨	fui3
讹	ngo4
撩	liu4/liu1
团	tyun4/tyun4
转	jyun2/jyun3
赁	yam6
裕	yu6
年	nin4
鎞	bai1
鸿	hung4
埒	lyut3
霅	jip3
涬	hang6
鎊	bong2/bong6
州	jau1
噠	daat6
恙	yeung6
专	jyun1
瓮	ung3
侠	haap6/hap6
唇	seun4
瘉	yu6
笆	ba1
擦	chaat3
鲵	ngai4
职	jik1
穸	jik6
癧	lek6
晦	fui3
撒	saat3
細	sai3
枌	fan1
懨	yim1
挟	hip6/gaap3/gip6/haap6/hip6
砷	san1
矜	ging1/gwan1
粔	geui6
湑	seui1/seui2
櫸	geui2
貆	wun4
揸	ja1
嘭	paang1/baang4
盐	yim4
蛮	maan4
彿	fat1
高	gou1
钢	gong3/gong1
挡	dong2/dong3
阻	jo2
斫	jeuk3
醮	jiu3
勃	but6
惡	ngok3/ok3/wu3
矮	ai2/ngai2
庹	tok3
撏	cham4
椅	yi2
弦	yin4
侵	cham1
紐	nau2
总	jung2
軘	tyun4
恽	wan6
助	jo6
轫	yan6
見	gin3
孪	lyun4
礽	ying4
獍	ging3
党	dong2
盲	maang4
攣	lyun4
仄	jak1
嚕	lou1
熵	seung1
魦	sa1
哮	haau1
塘	tong4
衖	hong6/lung6
恟	hung1
炬	geui6
饥	gei1/gei1
怠	doi6/toi5
睎	hei1
蜥	sik1
嬾	laan5
鸝	lei4
莘	san1
剖	fau2/pau2
是	si6
刽	gui3/kui2
雅	nga5
煅	dyun3
眯	mei1/mai5/mei1/mai5
洴	ping4
编	pin1
獬	haai5
拜	baai3
斁	dou3/yik6
剄	ging2
禅	sim3/sin4/sin6
塲	cheung4
兮	hai4
羜	chyu5
节	jit3
泊	paak3/bok6
潢	wong4
按	on3
厖	pong4
妬	dou3
恨	han6
侬	nung4
編	pin1
起	hei2
啮	ngat6/yit6
爝	jeuk6
苯	bun2
尪	wong1
薊	gai3
萍	ping4
赖	laai6
籪	dyun6
絏	sit3
甦	sou1
旂	kei4
幵	gin1
琱	diu1
頁	yip6
舡	syun4
霤	lau6
滅	mit6
常	seung4
水	seui2
卦	gwa3
湅	lin6
滉	fong2
燐	leun4
邈	miu5
幫	bong1
譆	hei1
绋	fat1
粟	suk1
数	sou3/sou2
煞	saat3
验	yim6
首	sau2
汆	tan2
層	chang4
筇	kung4
忉	dou1/tou1
鼍	to4
詖	bei1/bei3
湎	min5
焦	jiu1
疎	so1
枣	jou2
唈	yap1
佈	bou3
泥	nai4
阗	tin4
嗓	song2
蹒	mun4
暮	mou6
璦	oi3
銳	yeui6
耸	sung2
嶢	yiu4
澳	ou3
虣	bou6
繚	liu4
搬	bun1
蜀	suk6
襏	but6
汹	hung1
數	sou3/sou2
氕	pit3
缗	man4/fan1
跸	bat1
慊	him3/hip3
坤	kwan1
曠	kwong3
橐	tok3
酺	pou4
飭	chik1
辛	san1
跲	gaap3
尽	jeun2/jeun6
擰	ning4/ning6
嫁	ga3
又	yau6
泻	se3/se2
陆	luk6
狗	gau2
枝	ji1
鍭	hau4
谅	leung6
徘	pui4
孖	ma1
行	hang4/haang4/hang6/hong4/hong2
扻	ham2
甀	zeoi6
曖	oi3
帻	jik1
肐	gat1
惎	gei6
下	ha6
螻	lau4
饐	yi3
衫	saam1/sam1
芡	him3
羡	sin6/sin6
膇	zeoi6
來	loi4
質	jat1/ji3
苻	fu4
鐨	fai3
題	tai4
孩	haai4
翹	kiu4
鉛	yun4
喫	hek3/yaak
贡	gung3
淄	ji1
逞	ching2
薐	ling4
猶	yau4
宙	jau6
设	chit3
郧	wan4
抚	fu2
嗿	taam2
詹	jim1
絫	leui4
襤	laam4
攉	fok3
琪	kei4
偓	ak1
劙	lei5
豺	chaai4
恤	seut1/seut1
雚	gun3
膴	mou5
內	noi6
昱	yuk1
慆	tou1
倪	ngai4
璊	mun4
億	yik1
銷	siu1
显	hin2
噎	yit3
閼	aat1/aat3/yin1
炒	chaau2
稈	gon2
欙	leui5
䜣	yan1
暋	man5
陀	to4
崞	gwok3
阹	keui1
媻	po4
逢	fung4
充	chung1
莺	ang1
坰	gwing1
莅	lei6
谇	seui6
絿	kau6
甕	ong3/ung3
瓯	au1
狽	bui3
艷	yim6
憝	deui6
丙	bing2
猿	yun4
鷖	yi1
滦	lyun4
鼫	sek6
鯔	ji1
家	ga1
嗙	pong3
饰	sik1
週	jau1
窿	lung4
脞	cho2
進	jeun3
彳	chik1
汀	ting1
蕣	seun3
桩	jong1
臾	yu4
鸥	au1
鲻	ji1
薪	san1
抿	man5
蝨	sat1
謗	pong3
圆	yun4
豌	wun1
笕	gan2
宜	yi4
欒	lyun4
筭	syun3
卑	bei1
视	si6
拮	git3
嘯	siu3
蘘	yeung4
側	jak1
弢	tou1
呡	man3
系	hai6/hai6/hai6
豎	syu6
剑	gim3
踼	dong6
闭	bai3
嗜	si3
汴	bin6
渌	luk6
浙	jit3
茷	fat6/pui3
鸛	gun3
诓	hong1
兑	deui3
完	yun4
牝	pan5
瓛	wun4
岁	seui3
殍	piu5
肅	suk1
额	ngaak6
轱	ku1
晃	fong2
僮	jung3/tung4
髆	bok3
瑾	gan2/gan6
禽	kam4
圛	yik6
崭	jaam2
茭	gaau1
顆	fo2
謔	yeuk6
荅	daap3
殀	yiu2
鶘	wu4
麑	ngai4
可	ho2
霂	muk6
晤	ng6
苴	zeoi1
閑	haan4
彼	bei2
蝙	bin1/bin2
渡	dou6
拇	mou5
鐸	dok6
粱	leung4
厹	kau2
卿	hing1
鋇	bui3
墟	heui1
窝	wo1
距	keui5/geui6
玻	bo1
窜	chyun3
咻	yau1
繄	yi1
绁	sit3
暢	cheung3
綰	waan2
錠	ding3
坯	pui1
丫	a1
堅	gin1
楰	yu4
氂	moi4
夥	fo2
觞	seung1
齏	jai1
俦	chau4
踢	tek3
揿	gam6
岳	ngok6/ngok6
偬	jung2
篱	lei4
踆	jeun3
薰	fan1
幾	gei2/gei1
畸	kei1/gei1
籠	lung4/lung5
唏	hei1
頑	wan4
豔	yim6
驴	leui4/lou4
倾	king1
髮	faat3
扊	yim5
橁	cheun4
頀	wu6
占	jim1/jim3
廣	gwong2
楄	pin4
沱	to4
鍍	dou6
奔	ban1
醜	chau2
淒	chai1
嚃	daap3
鼈	bit3
然	yin4
毘	pei3
獭	chaat3
曆	lik6
栊	lung4
㷫	hing3
绛	gong3
穆	muk6
撐	chaang1/chaang3
鼴	yin2
殭	geung1
篢	lung5
曰	yut6/yeuk6
躪	leun6
渢	fung1
缺	kyut3
浣	wun5
痠	syun1
泆	yat6
覯	gau3
糕	gou1
鵑	gyun1
蔻	kau3
轝	yu4
蚌	pong5
媒	mui4
