啊	a/ā/è/á/ǎ/à
鱫	ai
翶	ao
魞	ba
紦	ba
𣬷	ba
𣬶	ba
罢	ba/bà
罷	ba/bà/pí/pì/bǐ/bǎi
巴	ba/bā
笆	ba/bā
吧	ba/bā/pā
叭	ba/pā/bā
㗑	bai
薭	bai
竡	bai
螁	ban
扮	ban/bàn/fěn/fēn/huǒ
佨	bao
藵	bao
呗	bei
禙	bei
唄	bei/bài
揼	beng
匂	bi
幤	bi
萞	bi
襅	bi
嬶	bi
峅	bian
炞	bian
飊	biao
氞	bin
濵	bin
鞆	bing
鋲	bing
垪	bing
遍	biàn
𣸇	biàn
䡢	biàn
𣈠	biàn
𠭹	biàn
㵷	biàn
𠷖	biàn
变	biàn
玣	biàn
昪	biàn
䛒	biàn
匥	biàn
艑	biàn
變	biàn
𤺇	biàn
変	biàn
㲢	biàn
㣐	biàn
抃	biàn
忭	biàn
㝸	biàn
𦉙	biàn
𢭥	biàn
𩰍	biàn
𤻶	biàn
㴜	biàn
𨚕	biàn
㳒	biàn
汳	biàn
辮	biàn
𪉱	biàn
㭓	biàn
辧	biàn
𣪭	biàn
𩩯	biàn
𠯴	biàn
𥍚	biàn
缏	biàn
𧩰	biàn
汴	biàn
𣝜	biàn
辡	biàn
苄	biàn
覍	biàn
辫	biàn
䉸	biàn
䒪	biàn
㳎	biàn
𤀲	biàn
㺹	biàn
𨧕	biàn
辩	biàn
釆	biàn/biǎn
辨	biàn/biǎn/bàn/piàn
𨳲	biàn/bì
䪻	biàn/fàn
拚	biàn/fèn/fān/pīn/pàn
閞	biàn/guān
便	biàn/pián/biān
緶	biàn/pián/biǎn
辯	biàn/pián/biǎn/bàn
徧	biàn/pián/piān
弁	biàn/pán
卞	biàn/pán
俵	biào
䞄	biào
鰾	biào
𠬪	biào
𧴕	biào
𧴎	biào
鳔	biào
㧼	biào
𧳀	biào/nǎo
𢿏	biào/pāo
𢆣	biè
㢼	biè
彆	biè
䌘	biè/bì
蹩	bié
𡙪	bié
𩓝	bié
𢛎	bié
䭱	bié
𤺓	bié
𡷘	bié
徶	bié
𩦉	bié
蛂	bié
襒	bié
䇷	bié
𠍯	bié
𤾵	bié
莂	bié
𪐆	bié
𨒜	bié
𧿥	bié
𩡟	bié
䠥	bié
𧧸	bié
别	bié/biè
別	bié/biè
𧝬	bié/bì
咇	bié/bì
䏟	bié/bì
𩠻	bié/hān
𢩟	biān
𨩫	biān
𨖾	biān
甂	biān
煸	biān
鞭	biān
𤄺	biān
辺	biān
笾	biān
鯾	biān
邉	biān
砭	biān
𪏗	biān
箯	biān
𪓍	biān
鍽	biān
鳊	biān
𣩀	biān
编	biān
籩	biān
𦇭	biān
𢻶	biān
鯿	biān
邊	biān/bian
边	biān/bian
揙	biān/biàn
編	biān/biǎn/biàn
䟍	biān/dián
牑	biān/miàn
猵	biān/piàn
𠐈	biān/pián
𠑟	biān/pián
蝙	biān/pián
萹	biān/pián/biǎn
𩪊	biāo
𢒯	biāo
鑣	biāo
镖	biāo
臕	biāo
熛	biāo
飙	biāo
𥲦	biāo
儦	biāo
瀌	biāo
飆	biāo
幖	biāo
𤂆	biāo
贆	biāo
飇	biāo
爂	biāo
𦔗	biāo
䮽	biāo
㶾	biāo
𣄠	biāo
镳	biāo
滮	biāo
磦	biāo
墂	biāo
