Pinyin,Zhuyin,IPA
a,ㄚ,a
ai,ㄞ,aɪ
an,ㄢ,an
ang,ㄤ,ɑŋ
ao,ㄠ,ɑʊ
ba,ㄅㄚ,pa
bai,ㄅㄞ,paɪ
ban,ㄅㄢ,pan
bang,ㄅㄤ,pɑŋ
bao,ㄅㄠ,pɑʊ
bei,ㄅㄟ,peɪ
ben,ㄅㄣ,pən
beng,ㄅㄥ,pɤŋ
bi,ㄅㄧ,pi
bian,ㄅㄧㄢ,pjɛn
biao,ㄅㄧㄠ,pjɑʊ
bie,ㄅㄧㄝ,pjɛ
bin,ㄅㄧㄣ,pin
bing,ㄅㄧㄥ,piŋ
bo,ㄅㄛ,pwɔ
bu,ㄅㄨ,pu
ca,ㄘㄚ,tsʰa
cai,ㄘㄞ,tsʰaɪ
can,ㄘㄢ,tsʰan
cang,ㄘㄤ,tsʰɑŋ
cao,ㄘㄠ,tsʰɑʊ
ce,ㄘㄜ,tsʰɤ
cen,ㄘㄣ,tsʰən
ceng,ㄘㄥ,tsʰɤŋ
cha,ㄔㄚ,ʈʂʰa
chai,ㄔㄞ,ʈʂʰaɪ
chan,ㄔㄢ,ʈʂʰan
chang,ㄔㄤ,ʈʂʰɑŋ
chao,ㄔㄠ,ʈʂʰɑʊ
che,ㄔㄜ,ʈʂʰɤ
chen,ㄔㄣ,ʈʂʰən
cheng,ㄔㄥ,ʈʂʰɤŋ
chi,ㄔ,ʈʂʰɨ
chong,ㄔㄨㄥ,ʈʂʰʊŋ
chou,ㄔㄡ,ʈʂʰoʊ
chu,ㄔㄨ,ʈʂʰu
chua,ㄔㄨㄚ,ʈʂʰwa
chuai,ㄔㄨㄞ,ʈʂʰwaɪ
chuan,ㄔㄨㄢ,ʈʂʰwan
chuang,ㄔㄨㄤ,ʈʂʰwɑŋ
chui,ㄔㄨㄟ,ʈʂʰweɪ
chun,ㄔㄨㄣ,ʈʂʰwən
chuo,ㄔㄨㄛ,ʈʂʰwɔ
ci,ㄘ,tsʰɯ
cong,ㄘㄨㄥ,tsʰʊŋ
cou,ㄘㄡ,tsʰoʊ
cu,ㄘㄨ,tsʰu
cuan,ㄘㄨㄢ,tsʰwan
cui,ㄘㄨㄟ,tsʰweɪ
cun,ㄘㄨㄣ,tsʰwən
cuo,ㄘㄨㄛ,tsʰwɔ
da,ㄉㄚ,ta
dai,ㄉㄞ,taɪ
dan,ㄉㄢ,tan
dang,ㄉㄤ,tɑŋ
dao,ㄉㄠ,tɑʊ
de,ㄉㄜ,tɤ
dei,ㄉㄟ,teɪ
den,ㄉㄣ,tən
deng,ㄉㄥ,tɤŋ
di,ㄉㄧ,ti
dian,ㄉㄧㄢ,tjɛn
diang,ㄉㄧㄤ,tjɑŋ
diao,ㄉㄧㄠ,tjɑʊ
die,ㄉㄧㄝ,tjɛ
ding,ㄉㄧㄥ,tiŋ
diu,ㄉㄧㄡ,tjoʊ
dong,ㄉㄨㄥ,tʊŋ
dou,ㄉㄡ,toʊ
du,ㄉㄨ,tu
duan,ㄉㄨㄢ,twan
dui,ㄉㄨㄟ,tweɪ
dun,ㄉㄨㄣ,twən
duo,ㄉㄨㄛ,twɔ
e,ㄜ,ɤ
ei,ㄟ,eɪ
en,ㄣ,ən
er,ㄦ,ɑɻ
fa,ㄈㄚ,fa
fan,ㄈㄢ,fan
fang,ㄈㄤ,fɑŋ
fei,ㄈㄟ,feɪ
fen,ㄈㄣ,fən
feng,ㄈㄥ,fɤŋ
fo,ㄈㄛ,fwɔ
fou,ㄈㄡ,foʊ
fu,ㄈㄨ,fu
ga,ㄍㄚ,ka
gai,ㄍㄞ,kaɪ
gan,ㄍㄢ,kan
gang,ㄍㄤ,kɑŋ
gao,ㄍㄠ,kɑʊ
ge,ㄍㄜ,kɤ
gei,ㄍㄟ,keɪ
gen,ㄍㄣ,kən
geng,ㄍㄥ,kɤŋ
gong,ㄍㄨㄥ,kʊŋ
gou,ㄍㄡ,koʊ
gu,ㄍㄨ,ku
gua,ㄍㄨㄚ,kwa
guai,ㄍㄨㄞ,kwaɪ
guan,ㄍㄨㄢ,kwan
guang,ㄍㄨㄤ,kwɑŋ
gui,ㄍㄨㄟ,kweɪ
gun,ㄍㄨㄣ,kwən
guo,ㄍㄨㄛ,kwɔ
ha,ㄏㄚ,xa
hai,ㄏㄞ,xaɪ
han,ㄏㄢ,xan
hang,ㄏㄤ,xɑŋ
hao,ㄏㄠ,xɑʊ
he,ㄏㄜ,xɤ
hei,ㄏㄟ,xeɪ
hen,ㄏㄣ,xən
heng,ㄏㄥ,xɤŋ
hong,ㄏㄨㄥ,xʊŋ
hou,ㄏㄡ,xoʊ
hu,ㄏㄨ,xu
hua,ㄏㄨㄚ,xwa
huai,ㄏㄨㄞ,xwaɪ
huan,ㄏㄨㄢ,xwan
huang,ㄏㄨㄤ,xwɑŋ
hui,ㄏㄨㄟ,xweɪ
hun,ㄏㄨㄣ,xwən
huo,ㄏㄨㄛ,xwɔ
ji,ㄐㄧ,tɕi
jia,ㄐㄧㄚ,tɕja
jian,ㄐㄧㄢ,tɕjɛn
jiang,ㄐㄧㄤ,tɕjɑŋ
jiao,ㄐㄧㄠ,tɕjɑʊ
jie,ㄐㄧㄝ,tɕjɛ
jin,ㄐㄧㄣ,tɕin
jing,ㄐㄧㄥ,tɕiŋ
jiong,ㄐㄩㄥ,tɕjʊŋ
jiu,ㄐㄧㄡ,tɕjoʊ
ju,ㄐㄩ,tɕy
juan,ㄐㄩㄢ,tɕɥœn
jue,ㄐㄩㄝ,tɕɥœ
jun,ㄐㄩㄣ,tɕyn
ka,ㄎㄚ,kʰa
kai,ㄎㄞ,kʰaɪ
kan,ㄎㄢ,kʰan
kang,ㄎㄤ,kʰɑŋ
kao,ㄎㄠ,kʰɑʊ
ke,ㄎㄜ,kʰɤ
kei,ㄎㄟ,kʰeɪ
ken,ㄎㄣ,kʰən
keng,ㄎㄥ,kʰɤŋ
kong,ㄎㄨㄥ,kʰʊŋ
kou,ㄎㄡ,kʰoʊ
ku,ㄎㄨ,kʰu
kua,ㄎㄨㄚ,kʰwa
kuai,ㄎㄨㄞ,kʰwaɪ
kuan,ㄎㄨㄢ,kʰwan
kuang,ㄎㄨㄤ,kʰwɑŋ
kui,ㄎㄨㄟ,kʰweɪ
kun,ㄎㄨㄣ,kʰwən
kuo,ㄎㄨㄛ,kʰwɔ
la,ㄌㄚ,la
lai,ㄌㄞ,laɪ
lan,ㄌㄢ,lan
lang,ㄌㄤ,lɑŋ
lao,ㄌㄠ,lɑʊ
le,ㄌㄜ,lɤ
lei,ㄌㄟ,leɪ
leng,ㄌㄥ,lɤŋ
li,ㄌㄧ,li
lia,ㄌㄧㄚ,lja
lian,ㄌㄧㄢ,ljɛn
liang,ㄌㄧㄤ,ljɑŋ
liao,ㄌㄧㄠ,ljɑʊ
lie,ㄌㄧㄝ,ljɛ
lin,ㄌㄧㄣ,lin
ling,ㄌㄧㄥ,liŋ
liu,ㄌㄧㄡ,ljoʊ
lo,ㄌㄛ,lɔ
long,ㄌㄨㄥ,lʊŋ
lou,ㄌㄡ,loʊ
lu,ㄌㄨ,lu
luan,ㄌㄨㄢ,lwan
lun,ㄌㄨㄣ,lwən
luo,ㄌㄨㄛ,lwɔ
lü,ㄌㄩ,ly
lüe,ㄌㄩㄝ,lɥœ
lün,ㄌㄩㄣ,lyn
ma,ㄇㄚ,ma
mai,ㄇㄞ,maɪ
man,ㄇㄢ,man
mang,ㄇㄤ,mɑŋ
mao,ㄇㄠ,mɑʊ
me,ㄇㄜ,mɤ
